person_party_id,start_dt,end_dt,next_start_dt,program_start_date,program_end_date,program_exit_code,cms_user_ext_id,final_term,credential,term_length,prior_cum_credits_not_completed,full_part_time,term_attempted_credits,on_campus,delta_unmet_need,unmet_need,prior_term_earned_credits,prior_total_credit_hours,high_school_gpa,term_start_month,prior_term_start_month,prior_full_part_time,primary_major,prior_term_fraction_completed_credits,transfer,prior_term_gpa,admitted_zip_code,prior_cumulative_gpa,time_at_institution,prediction,outcome
1062429,8/28/13,12/13/13,1/3/14,12/20/12,5/12/16,1,376911,FALSE,BA,107,-0.25,Full-time,14,TRUE,,0,3,40.75,3.543,Aug,Jul,Full-time,POSC,1,FALSE,4,46350,3.464,0.99,0.986412193,1
1061969,1/29/15,5/14/15,,2/1/13,5/14/15,1,367555,TRUE,BA,105,-0.75,Full-time,15,FALSE,,0,4,122.75,3.76,Jan,Jan,Full-time,GBUS,1,FALSE,3.7,46580,3.466,3.41,0.982299376,1
1063048,1/4/16,1/22/16,1/27/16,1/10/14,,,388778,FALSE,BS,18,10.75,Full-time,3,FALSE,,,10,81.25,3,Jan,Aug,Full-time,MRKT,0.62,FALSE,1.415,46806,2.261,2.35,0.86160407,1
1061958,1/3/14,1/23/14,1/29/14,3/27/12,5/15/14,1,367373,FALSE,BS,20,2.25,Full-time,3,FALSE,,,13.75,113.25,2.853,Jan,Aug,Full-time,MGMT,1.01,FALSE,2.562,47802,2.124,3.34,0.992979096,1
1063715,1/29/15,5/14/15,8/26/15,,,,401673,FALSE,Unknown,105,-0.25,Full-time,14.5,TRUE,,0,3,18.25,,Jan,Jan,Full-time,,1,FALSE,3,8060,3.006,0.42,0.908450346,1
1062700,7/1/15,8/12/15,8/26/15,4/1/14,5/12/16,1,381648,FALSE,BS,42,-0.5,Full-time,3,FALSE,,,4,96.5,2.3,Jul,May,Part-time,MRKT,1,FALSE,4,46256,2.233,2.83,0.982299385,1
1063052,8/28/13,12/13/13,1/3/14,8/28/13,6/2/14,4,388846,FALSE,BS,107,,Full-time,13.5,TRUE,,0,,,2.939,Aug,Unknown,Unknown,CRJST,,FALSE,,46041,,0,0.986984322,1
1063642,8/27/14,12/12/14,,8/27/14,1/5/15,4,399839,TRUE,BS,107,,Full-time,13,TRUE,,0,,,2.885,Aug,Unknown,Unknown,ACCT,,FALSE,,48371,,0,0.992606529,0
1063737,1/29/15,5/14/15,5/19/15,8/27/14,12/16/16,1,402164,FALSE,BS,105,0,Full-time,13.5,TRUE,,0,3,70,3.833,Jan,Jan,Full-time,CPTSC,1,TRUE,3.7,47725,3.783,0.42,0.937372612,1
1062269,8/27/14,12/12/14,1/6/15,8/31/11,12/1/14,2,374410,FALSE,BS,107,3.5,Full-time,14.5,TRUE,38968,38968,13,98.5,3.202,Aug,Jan,Full-time,ENGR,1,FALSE,2.092,47513,1.889,2.99,0.621090771,1
